Instance ID,Pattern,mg-ca,mg-ce,Number of Classes,cg-na,cg-npm,TD,Minor,Major,Critical
53,Singleton,1,7,1,1,3,0,0,0,0
54,Singleton,2,6,1,1,4,0,0,0,0
55,Singleton,1,6,1,1,3,0,0,0,0
56,Singleton,1,9,1,1,5,0,0,0,0
57,Singleton,1,8,1,2,3,0,0,0,0
58,Singleton,2,1,1,1,0,0,0,0,0
59,Singleton,1,1,1,1,0,0,0,0,0
60,Singleton,3,1,1,1,0,0,0,0,0
61,Singleton,4,1,1,1,0,0,0,0,0
62,Singleton,0,0,1,1,0,0,0,0,0
63,Singleton,4,0,1,1,0,0,0,0,0
64,Singleton,2,3,1,1,8,0,0,0,0
65,Singleton,1,0,1,1,0,0,0,0,0
66,Singleton,6,1,1,1,4,0,0,0,0
67,Singleton,1,0,1,1,0,0,0,0,0
68,Singleton,3,9,1,6,7,0,0,0,0
69,Singleton,7,11,1,1,5,0,0,0,0
70,Singleton,1,0,1,1,0,0,0,0,0
71,Singleton,1,0,1,1,0,0,0,0,0
72,Singleton,64,4,1,2,11,1,0,0,1
73,Singleton,3,1,1,1,0,0,0,0,0
74,Singleton,5,0,1,1,1,0,0,0,0
75,Singleton,1,3,1,1,1,0,0,0,0
76,Singleton,4,1,1,1,0,1,0,1,0
77,Singleton,3,5,1,1,33,1,0,0,1
78,Singleton,5,5,1,1,2,0,0,0,0
79,Singleton,5,1,1,1,1,0,0,0,0
80,Singleton,5,9,1,1,33,0,0,0,0
81,Singleton,2,8,1,1,68,0,0,0,0
82,Singleton,5,0,1,3,2,0,0,0,0
83,Singleton,6,0,1,1,0,0,0,0,0
84,Singleton,2,3,1,1,1,0,0,0,0
85,Singleton,1,3,1,1,1,0,0,0,0
86,Singleton,4,3,1,1,10,0,0,0,0
87,Singleton,139,73,1,28,23,1,0,0,1
88,Singleton,2,3,1,1,23,0,0,0,0
89,Singleton,4,1,1,1,1,0,0,0,0
90,Singleton,1,2,1,1,2,0,0,0,0
91,Singleton,3,1,1,1,3,0,0,0,0
92,Singleton,3,8,1,2,7,0,0,0,0
93,Singleton,1,8,1,3,8,0,0,0,0
94,Singleton,0,8,1,2,6,0,0,0,0
95,Singleton,2,0,1,1,0,0,0,0,0
96,Singleton,1,4,1,1,1,0,0,0,0
97,Singleton,1,3,1,1,1,0,0,0,0
98,Singleton,1,5,1,3,3,0,0,0,0
99,Singleton,5,4,1,2,3,0,0,0,0
100,Singleton,3,7,1,2,2,0,0,0,0
101,Singleton,1,3,1,1,1,0,0,0,0
102,Singleton,1,3,1,1,1,0,0,0,0
103,Singleton,1,3,1,1,1,0,0,0,0
104,Singleton,3,7,1,2,2,0,0,0,0
105,Singleton,9,5,1,2,3,0,0,0,0
106,Singleton,3,7,1,2,2,0,0,0,0
107,Singleton,5,4,1,2,3,0,0,0,0
108,Singleton,1,4,1,1,1,0,0,0,0
109,Singleton,1,3,1,1,1,0,0,0,0
110,Singleton,1,3,1,1,1,0,0,0,0
111,Singleton,1,4,1,1,1,0,0,0,0
112,Singleton,3,6,1,1,2,0,0,0,0
113,Singleton,1,3,1,1,1,0,0,0,0
114,Singleton,1,3,1,1,1,0,0,0,0
115,Singleton,1,4,1,1,4,0,0,0,0
116,Singleton,1,4,1,1,1,0,0,0,0
117,Singleton,1,6,1,1,3,0,0,0,0
118,Singleton,8,5,1,2,3,0,0,0,0
119,Singleton,1,4,1,1,6,0,0,0,0
120,Singleton,2,27,1,2,39,0,0,0,0
121,Singleton,12,4,1,2,3,0,0,0,0
122,Singleton,5,4,1,2,3,0,0,0,0
123,Singleton,3,5,1,2,3,0,0,0,0
124,Singleton,8,4,1,2,3,0,0,0,0
125,Singleton,1,3,1,1,1,0,0,0,0
126,Singleton,4,6,1,3,3,0,0,0,0
127,Singleton,1,4,1,1,2,0,0,0,0
128,Singleton,3,6,1,1,3,0,0,0,0
