Instance ID,Pattern,mg-ca,mg-ce,Number of Classes,cg-na,cg-npm,TD,Minor,Major,Critical
792,State,755,20,2,3,53,0,0,0,0
793,State,756,22,2,1,53,0,0,0,0
794,State,756,22,2,4,53,0,0,0,0
795,State,756,22,2,4,54,0,0,0,0
796,State,756,22,2,3,55,0,0,0,0
797,State,756,22,2,3,55,0,0,0,0
798,State,756,22,2,4,53,0,0,0,0
799,State,756,22,2,4,54,0,0,0,0
800,State,756,19,2,3,57,0,0,0,0
801,State,756,21,2,3,57,0,0,0,0
802,State,756,24,2,4,53,0,0,0,0
803,State,756,25,2,1,53,0,0,0,0
804,State,756,25,2,6,54,0,0,0,0
805,State,756,25,2,5,54,0,0,0,0
806,State,756,22,2,1,53,0,0,0,0
807,State,756,24,2,3,53,0,0,0,0
808,State,756,24,2,2,54,0,0,0,0
809,State,756,24,2,2,54,0,0,0,0
810,State,756,22,2,1,53,0,0,0,0
811,State,756,22,2,1,53,0,0,0,0
812,State,756,20,2,2,53,0,0,0,0
813,State,756,20,2,2,53,0,0,0,0
814,State,756,21,2,6,53,0,0,0,0
815,State,756,21,2,2,53,0,0,0,0
816,State,756,20,2,2,53,0,0,0,0
817,State,756,21,2,2,53,0,0,0,0
818,State,756,20,2,1,53,0,0,0,0
819,State,756,21,2,2,53,0,0,0,0
820,State,756,20,2,1,53,0,0,0,0
821,State,756,20,2,3,53,0,0,0,0
822,State,756,20,2,3,53,0,0,0,0
823,State,756,23,2,3,53,0,0,0,0
824,State,756,22,2,3,58,0,0,0,0
825,State,755,24,2,2,58,0,0,0,0
826,State,755,27,2,4,62,0,0,0,0
827,State,755,27,2,4,62,0,0,0,0
828,State,755,27,2,4,62,0,0,0,0
829,State,755,28,2,4,62,0,0,0,0
830,State,755,28,2,4,62,0,0,0,0
831,State,755,28,2,4,60,0,0,0,0
832,State,755,23,2,2,58,0,0,0,0
833,State,755,23,2,2,58,0,0,0,0
834,State,755,24,2,2,57,0,0,0,0
835,State,755,23,2,2,58,0,0,0,0
836,State,755,23,2,2,58,0,0,0,0
837,State,755,23,2,2,61,0,0,0,0
838,State,755,23,2,2,61,0,0,0,0
839,State,755,23,2,2,61,0,0,0,0
840,State,755,23,2,2,61,0,0,0,0
841,State,755,24,2,2,59,0,0,0,0
842,State,755,24,2,2,58,0,0,0,0
843,State,755,23,2,2,58,0,0,0,0
844,State,755,24,2,2,57,0,0,0,0
845,State,755,23,2,2,58,0,0,0,0
846,State,755,24,2,5,62,0,0,0,0
847,State,755,23,2,3,56,0,0,0,0
848,State,755,24,2,2,58,0,0,0,0
849,State,755,23,2,2,56,0,0,0,0
850,State,755,24,2,2,56,0,0,0,0
851,State,755,23,2,2,57,0,0,0,0
852,State,755,23,2,2,57,0,0,0,0
853,State,755,24,2,2,58,0,0,0,0
854,State,755,24,2,2,57,0,0,0,0
855,State,755,28,2,4,62,0,0,0,0
856,State,755,24,2,2,56,0,0,0,0
857,State,755,23,2,2,56,0,0,0,0
858,State,755,24,2,2,56,0,0,0,0
859,State,755,23,2,2,57,0,0,0,0
860,State,755,23,2,2,57,0,0,0,0
861,State,755,24,2,2,58,0,0,0,0
862,State,755,24,2,2,57,0,0,0,0
863,State,755,28,2,4,62,0,0,0,0
864,State,755,24,2,2,56,0,0,0,0
865,State,755,24,2,2,58,0,0,0,0
866,State,755,24,2,2,58,0,0,0,0
867,State,756,23,2,5,59,0,0,0,0
868,State,755,24,2,2,58,0,0,0,0
869,State,755,23,2,2,58,0,0,0,0
870,State,755,24,2,2,58,0,0,0,0
871,State,755,24,2,2,59,0,0,0,0
872,State,755,24,2,2,58,0,0,0,0
873,State,756,22,2,2,56,0,0,0,0
874,State,756,20,2,2,54,0,0,0,0
875,State,756,20,2,2,54,0,0,0,0
876,State,756,21,2,2,54,0,0,0,0
877,State,756,21,2,2,54,0,0,0,0
878,State,756,21,2,2,54,0,0,0,0
879,State,756,21,2,2,54,0,0,0,0
880,State,756,20,2,1,53,0,0,0,0
881,State,756,20,2,1,53,0,0,0,0
882,State,756,20,2,1,53,0,0,0,0
883,State,756,21,2,1,53,0,0,0,0
884,State,756,20,2,2,54,0,0,0,0
885,State,756,20,2,2,54,0,0,0,0
886,State,756,21,2,2,54,0,0,0,0
887,State,756,21,2,4,56,0,0,0,0
888,State,756,21,2,2,54,0,0,0,0
889,State,756,21,2,1,53,0,0,0,0
890,State,756,20,2,2,52,0,0,0,0
891,State,756,21,2,1,53,0,0,0,0
892,State,756,21,2,2,54,0,0,0,0
893,State,756,21,2,2,54,0,0,0,0
894,State,756,21,2,1,53,0,0,0,0
895,State,756,21,2,1,53,0,0,0,0
896,State,756,21,2,2,54,0,0,0,0
897,State,756,21,2,2,54,0,0,0,0
898,State,756,21,2,2,54,0,0,0,0
899,State,756,21,2,2,54,0,0,0,0
900,State,756,20,2,1,53,0,0,0,0
901,State,756,20,2,1,53,0,0,0,0
902,State,756,21,2,1,53,0,0,0,0
