Class,TotalBrokenRules,Minor,Major,Critical,Info
jhotdraw-core:src/main/java/org/jhotdraw/draw/DelegatorDrawingView.java,3,0.0,3.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/DrawingEditor.java,1,0.0,0.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/GraphicalCompositeFigure.java,11,2.0,5.0,3.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/GridConstrainer.java,7,0.0,0.0,7.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/QuadTreeDrawing.java,3,0.0,2.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AbstractDrawingEditorAction.java,4,1.0,1.0,2.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AbstractDrawingViewAction.java,7,2.0,2.0,3.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AbstractSelectedAction.java,5,2.0,2.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AlignAction.java,1,0.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/ApplyAttributesAction.java,1,1.0,0.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AttributeAction.java,7,0.0,1.0,6.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AttributeToggler.java,8,1.0,1.0,6.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/ColorIcon.java,5,0.0,5.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DefaultAttributeAction.java,6,1.0,2.0,3.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DrawingAttributeAction.java,7,0.0,1.0,6.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DrawingColorChooserAction.java,2,1.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DrawingColorChooserHandler.java,5,0.0,5.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/DrawingColorIcon.java,2,0.0,0.0,2.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/EditorColorChooserAction.java,6,1.0,2.0,3.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/EditorColorIcon.java,2,0.0,0.0,2.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/GroupAction.java,2,1.0,0.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/ImageBevelBorder.java,6,0.0,5.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/IncreaseHandleDetailLevelAction.java,1,0.0,1.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/LineDecorationIcon.java,1,1.0,0.0,0.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/MoveAction.java,4,2.0,1.0,1.0,0.0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/MoveConstrainedAction.java,5,1.0,1.0,3.0,0.0
