Class,Patterns,cg-na,cg-npm
io.questdb.griffin.model.RuntimeIntrinsicIntervalModel,"Factory Method, Bridge",0,3
io.questdb.griffin.model.RuntimeIntervalModel,"(Object)Adapter, Factory Method, State",16,13
io.questdb.griffin.engine.table.AbstractDeferredValueRecordCursorFactory,"(Object)Adapter, Template Method, Factory Method, Bridge",30,6
io.questdb.griffin.engine.table.LatestByValueDeferredIndexedFilteredRecordCursorFactory,"Template Method, Factory Method",0,4
io.questdb.griffin.engine.table.LatestByValueDeferredFilteredRecordCursorFactory,"Template Method, Factory Method",0,4
io.questdb.griffin.engine.functions.cast.AbstractCastToSymbolFunction,"Template Method, Factory Method, Decorator",20,31
io.questdb.griffin.engine.functions.cast.CastCharToSymbolFunctionFactory,"Template Method, Factory Method, Decorator",0,10
io.questdb.griffin.engine.functions.cast.CastShortToSymbolFunctionFactory,"Template Method, Factory Method, Decorator",0,10
io.questdb.griffin.engine.functions.cast.CastByteToSymbolFunctionFactory,"Template Method, Factory Method, Decorator",0,10
io.questdb.griffin.engine.functions.cast.CastFloatToSymbolFunctionFactory,"Template Method, Factory Method, Decorator",0,10
io.questdb.griffin.engine.functions.cast.CastIntToSymbolFunctionFactory,"Template Method, Factory Method, Decorator",0,10
io.questdb.griffin.FunctionFactory,"State, Factory Method, Decorator",0,27
io.questdb.griffin.engine.functions.regex.AbstractLikeStrFunctionFactory,"State, Template Method, Factory Method, Decorator",5,11
io.questdb.griffin.engine.functions.cast.CastFloatToIntFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.catalogue.PgTypeFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastStrToStrArrayFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastLongToSymbolFunctionFactory,"State, Factory Method, Decorator",10,24
io.questdb.griffin.engine.functions.groupby.LastTimestampGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastDoubleToTimestampFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastCharToLong256FunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.catalogue.SimulateCrashFunctionFactory,"Factory Method, Decorator",15,6
io.questdb.griffin.engine.functions.groupby.LastShortGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastIntToFloatFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.groupby.SumFloatGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastShortToDoubleFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.eq.EqLongFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastDoubleToFloatFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.str.SplitPartFunctionFactory,"Template Method, Factory Method, Decorator, Bridge",13,21
io.questdb.griffin.engine.functions.date.TimestampFloorFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.cast.CastDateToTimestampFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.eq.EqStrUuidFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastSymbolToDoubleFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.cast.CastShortToFloatFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.date.TimestampSequenceFunctionFactory,"State, Factory Method, Decorator",6,18
io.questdb.griffin.engine.functions.cast.CastSymbolToStrFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.math.BitwiseXorLongFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.catalogue.CurrentSchemasFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.math.NegShortFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.date.TimestampShuffleFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.rnd.RndStrFunctionFactory,"(Object)Adapter, Factory Method, Decorator",3,9
io.questdb.griffin.engine.functions.cast.CastDateToIntFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.eq.EqUuidStrFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastShortToDateFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.cast.CastDoubleToDateFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.date.SysdateFunctionFactory,"State, (Object)Adapter, Factory Method, Decorator",5,10
io.questdb.griffin.engine.functions.date.TimestampCeilFunctionFactory,"Template Method, Factory Method, Decorator, Bridge",4,18
io.questdb.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.math.FloorFloatFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.rnd.RndStringRndListFunctionFactory,"(Object)Adapter, Factory Method, Decorator",8,12
io.questdb.griffin.engine.functions.cast.CastShortToByteFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.cast.CastCharToStrFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.rnd.RndDateCCCFunctionFactory,"(Object)Adapter, Factory Method, Decorator",4,9
io.questdb.griffin.engine.functions.groupby.SumLongGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastByteToStrFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.catalogue.CurrentDatabaseFunctionFactory,"Factory Method, Decorator",3,9
io.questdb.griffin.engine.functions.cast.CastLongToShortFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.bool.AndFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.math.SubDoubleFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.cast.CastShortToIntFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.math.MulIntFunctionFactory,"State, Factory Method, Decorator",2,10
io.questdb.griffin.engine.functions.str.LengthSymbolFunctionFactory,"State, Factory Method, Decorator",1,8
io.questdb.griffin.engine.functions.cast.CastSymbolToByteFunctionFactory,"State, Factory Method, Decorator",1,7
