Pattern,ClassCount
Factory Method,21
Prototype,43
Singleton,13
(Object)Adapter,37
Composite,9
Decorator,14
Observer,6
State,91
Bridge,25
Template Method,79
Visitor,0
Proxy,0
Strategy,0
Proxy2,0
Command,0
Chain of Responsibility,0
