Class,TotalBrokenRules,Minor,Major,Critical,Patterns,cg-na,cg-npm
core:src/main/java/io/questdb/cairo/O3PartitionJob.java,1,0.0,0.0,1.0,"Template Method, State",2,2
core:src/main/java/io/questdb/cairo/O3PartitionPurgeJob.java,1,0.0,0.0,1.0,"(Object)Adapter, Template Method, State",35,5
core:src/main/java/io/questdb/cairo/SecurityContext.java,6,0.0,0.0,0.0,,0,0
core:src/main/java/io/questdb/cairo/TableConverter.java,4,0.0,1.0,3.0,"(Object)Adapter, State",7,5
core:src/main/java/io/questdb/cairo/TableNameRegistryFileStore.java,1,0.0,0.0,1.0,"(Object)Adapter, State",30,18
core:src/main/java/io/questdb/cairo/TableReader.java,10,0.0,5.0,5.0,"(Object)Adapter, Factory Method, State",444,526
core:src/main/java/io/questdb/cairo/TableUtils.java,6,0.0,2.0,4.0,State,82,77
core:src/main/java/io/questdb/cairo/TableWriter.java,28,0.0,10.0,18.0,"(Object)Adapter, Factory Method, State",3525,2360
core:src/main/java/io/questdb/cairo/TxReader.java,1,0.0,1.0,0.0,State,39,55
core:src/main/java/io/questdb/cairo/frm/DeletedFrameColumn.java,1,0.0,0.0,1.0,,0,0
core:src/main/java/io/questdb/cairo/frm/FrameAlgebra.java,1,0.0,1.0,0.0,,0,0
core:src/main/java/io/questdb/cairo/frm/file/ContiguousFileColumnPool.java,2,0.0,0.0,1.0,(Object)Adapter,1,3
core:src/main/java/io/questdb/cairo/frm/file/ContiguousFileFixFrameColumn.java,6,0.0,6.0,0.0,"(Object)Adapter, State",40,44
core:src/main/java/io/questdb/cairo/frm/file/ContiguousFileVarFrameColumn.java,5,0.0,5.0,0.0,"(Object)Adapter, State",48,44
core:src/main/java/io/questdb/cairo/pool/AbstractMultiTenantPool.java,1,0.0,0.0,1.0,"(Object)Adapter, Template Method, Bridge",60,26
core:src/main/java/io/questdb/cairo/pool/WriterPool.java,1,0.0,0.0,1.0,"(Object)Adapter, Template Method, State",84,43
core:src/main/java/io/questdb/cairo/ptt/PartitionDateParseUtil.java,8,0.0,7.0,1.0,,0,0
core:src/main/java/io/questdb/cairo/security/AllowAllSecurityContext.java,1,0.0,1.0,0.0,Singleton,1,0
core:src/main/java/io/questdb/cairo/security/ReadOnlySecurityContext.java,1,0.0,0.0,1.0,Singleton,1,33
core:src/main/java/io/questdb/cairo/sql/SqlExecutionCircuitBreaker.java,1,0.0,0.0,1.0,"(Object)Adapter, State, Singleton, Bridge",68,374
core:src/main/java/io/questdb/cairo/vm/MemoryCMARWImpl.java,1,0.0,0.0,1.0,State,7,20
core:src/main/java/io/questdb/cairo/wal/ApplyWal2TableJob.java,4,0.0,2.0,2.0,"(Object)Adapter, Template Method, State",136,10
core:src/main/java/io/questdb/cairo/wal/WalPurgeJob.java,1,0.0,0.0,1.0,"(Object)Adapter, Template Method, State",133,20
core:src/main/java/io/questdb/cairo/wal/WalWriter.java,1,0.0,0.0,1.0,"(Object)Adapter, State",626,431
core:src/main/java/io/questdb/cairo/wal/seq/TableSequencerAPI.java,1,0.0,0.0,1.0,State,16,39
core:src/main/java/io/questdb/cutlass/auth/AnonymousAuthenticator.java,1,0.0,0.0,1.0,Singleton,1,6
core:src/main/java/io/questdb/cutlass/auth/AuthUtils.java,1,0.0,1.0,0.0,,0,0
core:src/main/java/io/questdb/cutlass/http/DefaultHttpServerConfiguration.java,1,0.0,1.0,0.0,Factory Method,5,11
core:src/main/java/io/questdb/cutlass/http/HttpConnectionContext.java,1,0.0,0.0,1.0,"(Object)Adapter, State",120,108
core:src/main/java/io/questdb/cutlass/http/MimeTypesCache.java,3,0.0,2.0,1.0,,0,0
core:src/main/java/io/questdb/cutlass/http/processors/JsonQueryProcessor.java,2,0.0,0.0,2.0,State,36,17
core:src/main/java/io/questdb/cutlass/http/processors/TextImportProcessor.java,1,0.0,0.0,1.0,"(Object)Adapter, State",69,20
core:src/main/java/io/questdb/cutlass/http/processors/TextQueryProcessor.java,2,0.0,0.0,2.0,State,30,15
core:src/main/java/io/questdb/cutlass/line/tcp/LineTcpConnectionContext.java,1,0.0,0.0,1.0,State,125,34
core:src/main/java/io/questdb/cutlass/line/tcp/LineTcpMeasurementScheduler.java,1,0.0,0.0,1.0,"(Object)Adapter, State",126,27
core:src/main/java/io/questdb/cutlass/line/tcp/StaticPublicKeyRepo.java,2,1.0,0.0,1.0,(Object)Adapter,2,0
core:src/main/java/io/questdb/cutlass/line/tcp/SymbolCache.java,1,0.0,1.0,0.0,"(Object)Adapter, State",50,21
core:src/main/java/io/questdb/cutlass/line/udp/LineUdpParserImpl.java,1,0.0,1.0,0.0,"(Object)Adapter, State",651,95
core:src/main/java/io/questdb/cutlass/pgwire/ClearTextPgWireAuthenticator.java,1,0.0,1.0,0.0,"(Object)Adapter, State",0,0
core:src/main/java/io/questdb/cutlass/pgwire/PGConnectionContext.java,5,0.0,2.0,3.0,"Proxy, State",812,210
core:src/main/java/io/questdb/cutlass/text/CairoTextWriter.java,4,0.0,2.0,2.0,"(Object)Adapter, Proxy, State",114,80
core:src/main/java/io/questdb/cutlass/text/CopyRequestTask.java,1,0.0,1.0,0.0,(Object)Adapter,10,12
core:src/main/java/io/questdb/cutlass/text/CopyTask.java,2,0.0,2.0,0.0,State,91,39
core:src/main/java/io/questdb/cutlass/text/ParallelCsvFileImporter.java,13,0.0,9.0,4.0,"(Object)Adapter, Proxy, State",608,180
core:src/main/java/io/questdb/griffin/PurgingOperator.java,1,0.0,0.0,1.0,"(Object)Adapter, State",28,10
core:src/main/java/io/questdb/griffin/SqlCodeGenerator.java,2,0.0,0.0,2.0,"State, Decorator",134,62
core:src/main/java/io/questdb/griffin/SqlCompiler.java,15,5.0,1.0,9.0,"(Object)Adapter, Proxy, State",133,63
core:src/main/java/io/questdb/griffin/SqlOptimiser.java,11,0.0,0.0,10.0,"(Object)Adapter, Singleton",13,0
core:src/main/java/io/questdb/griffin/SqlUtil.java,1,0.0,0.0,1.0,State,6,40
core:src/main/java/io/questdb/griffin/WhereClauseParser.java,2,0.0,1.0,1.0,Proxy,68,4
core:src/main/java/io/questdb/griffin/WhereClauseSymbolEstimator.java,1,0.0,0.0,1.0,,0,0
core:src/main/java/io/questdb/griffin/engine/functions/catalogue/Constants.java,1,1.0,0.0,0.0,,0,0
core:src/main/java/io/questdb/griffin/engine/functions/date/DateTruncFunctionFactory.java,2,0.0,0.0,2.0,"Factory Method, Decorator",0,6
core:src/main/java/io/questdb/griffin/engine/join/AbstractSymbolWrapOverCursor.java,1,0.0,1.0,0.0,,0,0
core:src/main/java/io/questdb/griffin/engine/join/AsOfJoinRecordCursorFactory.java,1,0.0,1.0,0.0,State,24,7
core:src/main/java/io/questdb/griffin/engine/join/LtJoinRecordCursorFactory.java,1,0.0,1.0,0.0,State,24,7
