Class,TotalBrokenRules,Minor,Major,Critical,Patterns,cg-na,cg-npm
jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/PrintApplicationFileAction.java,4,0.0,4.0,0.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/ReOpenApplicationAction.java,2,0.0,0.0,2.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/ClearFileAction.java,2,0.0,1.0,1.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/ClearRecentFilesMenuAction.java,1,0.0,1.0,0.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/ExportFileAction.java,6,0.0,5.0,1.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/LoadFileAction.java,2,0.0,1.0,1.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/LoadRecentFileAction.java,3,0.0,2.0,1.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/NewFileAction.java,1,0.0,1.0,0.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/OpenFileAction.java,8,0.0,5.0,3.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/OpenRecentFileAction.java,3,0.0,1.0,2.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java,11,0.0,8.0,3.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/SaveFileAction.java,3,0.0,1.0,2.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/action/window/TogglePaletteAction.java,5,1.0,2.0,2.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/osx/OSXAdapter.java,15,8.0,7.0,0.0,,0,0
jhotdraw-app:src/main/java/org/jhotdraw/app/osx/OSXPaletteHandler.java,2,1.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/AbstractConstrainer.java,2,0.0,1.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/AbstractDrawing.java,10,1.0,6.0,2.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/AbstractDrawingView.java,19,4.0,4.0,8.0,"Template Method, Bridge, (Object)Adapter",132,319
jhotdraw-core:src/main/java/org/jhotdraw/draw/AttributeKey.java,4,1.0,0.0,3.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/AttributeKeys.java,61,55.0,3.0,3.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/DefaultDrawing.java,4,0.0,1.0,3.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/DefaultDrawingEditor.java,4,1.0,2.0,1.0,"State, (Object)Adapter",0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/DefaultDrawingView.java,41,6.0,12.0,23.0,"State, (Object)Adapter",180,334
jhotdraw-core:src/main/java/org/jhotdraw/draw/DefaultDrawingViewBeanInfo.java,5,0.0,0.0,5.0,"State, (Object)Adapter",180,334
jhotdraw-core:src/main/java/org/jhotdraw/draw/DefaultDrawingViewTransferHandler.java,30,6.0,11.0,13.0,"State, (Object)Adapter",180,334
jhotdraw-core:src/main/java/org/jhotdraw/draw/DelegatorDrawingView.java,3,0.0,3.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/DrawingEditor.java,1,0.0,0.0,1.0,"Prototype, Bridge, State, (Object)Adapter",0,400
jhotdraw-core:src/main/java/org/jhotdraw/draw/GraphicalCompositeFigure.java,11,2.0,5.0,3.0,Prototype,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/GridConstrainer.java,7,0.0,0.0,7.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/QuadTreeDrawing.java,3,0.0,2.0,0.0,Composite,3,22
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AbstractDrawingEditorAction.java,4,1.0,1.0,2.0,Bridge,3,4
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AbstractDrawingViewAction.java,7,2.0,2.0,3.0,Bridge,10,6
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AbstractSelectedAction.java,5,2.0,2.0,1.0,Bridge,8,10
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AlignAction.java,1,0.0,1.0,0.0,Template Method,2,1
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/ApplyAttributesAction.java,1,1.0,0.0,0.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AttributeAction.java,7,0.0,1.0,6.0,,0,0
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/AttributeToggler.java,8,1.0,1.0,6.0,State,6,2
jhotdraw-core:src/main/java/org/jhotdraw/draw/action/ColorIcon.java,5,0.0,5.0,0.0,,0,0
