Class,Patterns,cg-na,cg-npm
org.jhotdraw.draw.QuadTreeDrawing,Composite,3,22
org.jhotdraw.draw.figure.AbstractCompositeFigure,"Bridge, Composite",0,0
org.jhotdraw.draw.figure.LabeledLineConnectionFigure,Composite,5,24
org.jhotdraw.draw.figure.QuadTreeCompositeFigure,Composite,5,20
org.jhotdraw.draw.decoration.LineDecoration,Composite,0,3
org.jhotdraw.draw.decoration.CompositeLineDecoration,Composite,2,1
org.jhotdraw.draw.DrawingEditorProxy,Decorator,3,7
org.jhotdraw.draw.tool.SelectionTool,"Decorator, State",27,54
org.jhotdraw.api.gui.ActivityModel,"Observer, State",14,40
org.jhotdraw.gui.JActivityIndicator,Observer,7,7
org.jhotdraw.color.HarmonicRule,Observer,0,6
org.jhotdraw.draw.tool.DefaultDragTracker,State,9,4
org.jhotdraw.draw.tool.DefaultHandleTracker,State,14,26
org.jhotdraw.draw.tool.DefaultSelectAreaTracker,State,6,8
org.jhotdraw.draw.tool.DnDTracker,State,8,4
org.jhotdraw.draw.event.AttributeChangeEdit,State,5,1
org.jhotdraw.draw.event.TransformRestoreEdit,State,4,1
org.jhotdraw.draw.handle.BezierControlPointHandle,State,5,8
org.jhotdraw.draw.handle.BezierNodeHandle,State,4,10
org.jhotdraw.action.window.FocusWindowAction,State,4,2
org.jhotdraw.gui.action.EditCanvasPanel,State,13,3
org.jhotdraw.draw.text.FloatingTextArea,State,10,10
org.jhotdraw.draw.text.FloatingTextField,State,8,13
org.jhotdraw.draw.tool.BezierTool,State,11,6
org.jhotdraw.api.app.Application,"Bridge, State",6,129
org.jhotdraw.samples.teddy.FindDialog,State,21,0
org.jhotdraw.samples.svg.gui.ViewToolBar,State,2,0
org.jhotdraw.app.AppletApplication,State,3,9
org.jhotdraw.draw.tool.TextAreaCreationTool,State,4,5
org.jhotdraw.draw.tool.TextAreaEditingTool,State,3,5
org.jhotdraw.draw.tool.TextCreationTool,State,3,8
org.jhotdraw.draw.tool.TextEditingTool,State,3,8
org.jhotdraw.draw.action.AttributeToggler,State,6,2
org.jhotdraw.draw.action.DrawingColorIcon,State,4,0
org.jhotdraw.draw.action.SelectionColorIcon,State,4,0
org.jhotdraw.samples.svg.gui.DrawingOpacityIcon,State,7,0
org.jhotdraw.samples.svg.gui.SelectionOpacityIcon,State,7,0
org.jhotdraw.gui.action.ButtonFactory,State,2,0
org.jhotdraw.samples.net.NetApplicationModel,State,2,0
org.jhotdraw.samples.pert.PertApplicationModel,State,2,0
org.jhotdraw.samples.svg.gui.ToolsToolBar,State,2,1
org.jhotdraw.color.ColorTrackImageProducer,State,8,9
org.jhotdraw.color.ColorWheelChooser,State,5,4
org.jhotdraw.gui.plaf.palette.colorchooser.ColorSliderTextFieldHandler,State,3,3
org.jhotdraw.gui.plaf.palette.colorchooser.PaletteCMYKChooser,State,25,4
org.jhotdraw.gui.plaf.palette.colorchooser.PaletteHSBChooser,State,20,4
org.jhotdraw.gui.plaf.palette.colorchooser.PaletteRGBChooser,State,14,4
org.jhotdraw.app.action.app.ExitAction,State,4,0
org.jhotdraw.gui.JActivityView,State,13,1
org.jhotdraw.draw.locator.Locator,"Bridge, State",0,4
org.jhotdraw.draw.connector.LocatorConnector,State,3,3
org.jhotdraw.draw.event.SelectionComponentDisplayer,State,10,8
org.jhotdraw.color.JColorWheel,State,28,27
org.jhotdraw.color.AbstractColorWheelImageProducer,"Template Method, State",20,19
org.jhotdraw.samples.draw.DrawView,State,6,6
org.jhotdraw.samples.net.NetView,State,7,10
org.jhotdraw.samples.odg.ODGView,State,10,14
org.jhotdraw.samples.pert.PertView,State,6,10
org.jhotdraw.color.JHarmonicColorWheel,State,8,5
org.jhotdraw.color.HarmonicColorModel,State,1,17
org.jhotdraw.action.window.ArrangeWindowsAction,State,6,0
org.jhotdraw.api.gui.Arrangeable,State,0,4
org.jhotdraw.draw.tool.DragTracker,State,0,1
org.jhotdraw.draw.tool.HandleTracker,State,0,1
org.jhotdraw.draw.event.CompositeFigureEdit,State,2,0
org.jhotdraw.draw.handle.AbstractConnectionHandle,"Template Method, Bridge",8,12
org.jhotdraw.draw.action.AbstractDrawingViewAction,Bridge,10,6
org.jhotdraw.draw.action.AbstractSelectedAction,Bridge,8,10
org.jhotdraw.draw.event.AbstractAttributeEditorHandler,"Template Method, Bridge",44,42
org.jhotdraw.action.AbstractApplicationAction,Bridge,4,2
org.jhotdraw.api.gui.AttributeEditor,Bridge,2,8
org.jhotdraw.action.AbstractViewAction,Bridge,10,3
org.jhotdraw.draw.handle.LocatorHandle,Bridge,1,1
org.jhotdraw.draw.layouter.Layouter,Bridge,0,2
org.jhotdraw.draw.action.AbstractDrawingEditorAction,Bridge,3,4
org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction,Template Method,2,0
org.jhotdraw.gui.plaf.palette.MultiIcon,Template Method,4,2
org.jhotdraw.draw.decoration.AbstractLineDecoration,Template Method,4,8
org.jhotdraw.draw.handle.AbstractRotateHandle,Template Method,6,5
org.jhotdraw.samples.svg.figures.SVGPathOutlineHandle,Template Method,1,6
org.jhotdraw.samples.svg.figures.LinkHandle,Template Method,0,6
org.jhotdraw.samples.svg.figures.SVGRectRadiusHandle,Template Method,3,6
org.jhotdraw.samples.svg.figures.ConvexHullOutlineHandle,Template Method,9,6
org.jhotdraw.samples.odg.figures.ODGPathOutlineHandle,Template Method,2,6
org.jhotdraw.samples.odg.figures.ODGRectRadiusHandle,Template Method,4,5
org.jhotdraw.draw.action.AlignAction,Template Method,2,1
org.jhotdraw.draw.figure.AbstractAttributedCompositeFigure,Template Method,7,50
org.jhotdraw.draw.figure.AbstractAttributedFigure,Template Method,10,45
org.jhotdraw.samples.mini.StraightLineFigure,Template Method,2,7
org.jhotdraw.samples.svg.figures.SVGAttributedFigure,Template Method,1,3
org.jhotdraw.samples.mini.MovableChildFiguresSampleWithAbstractDrawingView,Template Method,1,23
