Class,TotalBrokenRules,Minor,Major,Critical,Info,Pattern,cg-na,cg-npm
core:src/main/java/io/questdb/cutlass/http/processors/TextQueryProcessor.java,2,0.0,0.0,2.0,0.0,State,30,15
core:src/main/java/io/questdb/cutlass/line/tcp/LineTcpConnectionContext.java,1,0.0,0.0,1.0,0.0,State,125,34
core:src/main/java/io/questdb/cutlass/line/tcp/LineTcpMeasurementScheduler.java,1,0.0,0.0,1.0,0.0,State;(Object)Adapter,126,27
core:src/main/java/io/questdb/cutlass/line/tcp/StaticPublicKeyRepo.java,2,1.0,0.0,1.0,0.0,(Object)Adapter,2,0
core:src/main/java/io/questdb/cutlass/line/tcp/SymbolCache.java,1,0.0,1.0,0.0,0.0,State;(Object)Adapter,50,21
core:src/main/java/io/questdb/cutlass/line/udp/LineUdpParserImpl.java,1,0.0,1.0,0.0,0.0,State;(Object)Adapter,651,95
core:src/main/java/io/questdb/cutlass/pgwire/ClearTextPgWireAuthenticator.java,1,0.0,1.0,0.0,0.0,NONE,0,0
core:src/main/java/io/questdb/cutlass/pgwire/PGConnectionContext.java,5,0.0,2.0,3.0,0.0,State;Proxy,812,210
core:src/main/java/io/questdb/cutlass/text/CairoTextWriter.java,4,0.0,2.0,2.0,0.0,State;(Object)Adapter;Proxy,114,80
core:src/main/java/io/questdb/cutlass/text/CopyRequestTask.java,1,0.0,1.0,0.0,0.0,(Object)Adapter,10,12
core:src/main/java/io/questdb/cutlass/text/CopyTask.java,2,0.0,2.0,0.0,0.0,State,91,39
core:src/main/java/io/questdb/cutlass/text/ParallelCsvFileImporter.java,13,0.0,9.0,4.0,0.0,State;(Object)Adapter;Proxy,608,180
core:src/main/java/io/questdb/griffin/PurgingOperator.java,1,0.0,0.0,1.0,0.0,State;(Object)Adapter,28,10
core:src/main/java/io/questdb/griffin/SqlCodeGenerator.java,2,0.0,0.0,2.0,0.0,Decorator;State,134,62
core:src/main/java/io/questdb/griffin/SqlCompiler.java,15,5.0,1.0,9.0,0.0,State;(Object)Adapter;Proxy,133,63
core:src/main/java/io/questdb/griffin/SqlOptimiser.java,11,0.0,0.0,10.0,1.0,Singleton;(Object)Adapter,13,0
core:src/main/java/io/questdb/griffin/SqlUtil.java,1,0.0,0.0,1.0,0.0,State,6,40
core:src/main/java/io/questdb/griffin/WhereClauseParser.java,2,0.0,1.0,1.0,0.0,Proxy,68,4
core:src/main/java/io/questdb/griffin/WhereClauseSymbolEstimator.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/main/java/io/questdb/griffin/engine/functions/catalogue/Constants.java,1,1.0,0.0,0.0,0.0,NONE,0,0
core:src/main/java/io/questdb/griffin/engine/functions/date/DateTruncFunctionFactory.java,2,0.0,0.0,2.0,0.0,Decorator;Factory Method,0,6
core:src/main/java/io/questdb/griffin/engine/join/AbstractSymbolWrapOverCursor.java,1,0.0,1.0,0.0,0.0,NONE,0,0
core:src/main/java/io/questdb/griffin/engine/join/AsOfJoinRecordCursorFactory.java,1,0.0,1.0,0.0,0.0,State,24,7
core:src/main/java/io/questdb/griffin/engine/join/LtJoinRecordCursorFactory.java,1,0.0,1.0,0.0,0.0,State,24,7
core:src/main/java/io/questdb/griffin/engine/ops/CopyCancelFactory.java,2,1.0,1.0,0.0,0.0,NONE,0,0
core:src/main/java/io/questdb/griffin/engine/ops/CopyFactory.java,1,0.0,1.0,0.0,0.0,State,14,2
core:src/main/java/io/questdb/griffin/engine/table/ShowPartitionsRecordCursorFactory.java,3,0.0,0.0,3.0,0.0,State,18,4
core:src/main/java/io/questdb/griffin/model/IntervalUtils.java,5,2.0,1.0,2.0,0.0,NONE,0,0
core:src/main/java/io/questdb/griffin/model/QueryColumn.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/main/java/io/questdb/griffin/model/RuntimeIntervalModel.java,1,0.0,1.0,0.0,0.0,Factory Method;State;(Object)Adapter,16,13
core:src/main/java/io/questdb/log/LogAlertSocket.java,3,1.0,0.0,2.0,0.0,State;(Object)Adapter,78,39
core:src/main/java/io/questdb/log/LogFactory.java,1,0.0,0.0,1.0,0.0,Decorator;Singleton,31,24
core:src/main/java/io/questdb/log/LogRecordSink.java,4,2.0,1.0,0.0,0.0,NONE,0,0
core:src/main/java/io/questdb/std/Chars.java,2,0.0,0.0,0.0,0.0,NONE,0,0
core:src/main/java/io/questdb/std/Files.java,4,2.0,1.0,1.0,0.0,NONE,0,0
core:src/main/java/io/questdb/std/WeakObjectPoolBase.java,1,0.0,1.0,0.0,0.0,Template Method,3,2
core:src/main/java/io/questdb/std/fastdouble/FastDoubleMath.java,7,6.0,0.0,1.0,0.0,NONE,0,0
core:src/main/java/io/questdb/std/fastdouble/FastDoubleSwar.java,3,2.0,1.0,0.0,0.0,NONE,0,0
core:src/main/java/io/questdb/std/fastdouble/FastFloatMath.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/main/java/io/questdb/std/str/Path.java,2,0.0,2.0,0.0,0.0,(Object)Adapter,45,200
core:src/test/java/io/questdb/test/AbstractBootstrapTest.java,1,0.0,1.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/AbstractCairoTest.java,25,14.0,8.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/AbstractGriffinTest.java,22,1.0,15.0,5.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/AbstractTest.java,1,1.0,0.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/BootstrapTest.java,2,0.0,0.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/CollectionsTest.java,2,0.0,1.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/CreateTableTestUtils.java,2,0.0,1.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/FilesTest.java,13,2.0,0.0,10.0,1.0,NONE,0,0
core:src/test/java/io/questdb/test/MetricsTest.java,2,2.0,0.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/PerformanceTest.java,3,0.0,1.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/PropServerConfigurationTest.java,35,7.0,16.0,12.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/QuestDBTestNode.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/ServerMainBackupDatabaseTest.java,6,1.0,3.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/ServerMainForeignTableTest.java,11,0.0,2.0,8.0,1.0,NONE,0,0
core:src/test/java/io/questdb/test/ServerMainShowPartitionsTest.java,5,1.0,0.0,4.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/ServerMainVectorGroupByTest.java,2,0.0,0.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/TelemetryTest.java,10,3.0,0.0,7.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/TestListener.java,3,1.0,2.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/TestServerConfiguration.java,7,2.0,3.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/VolumeDefinitionsTest.java,8,3.0,1.0,4.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/BinarySearchTest.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/BitmapIndexTest.java,50,16.0,26.0,8.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/CairoEngineTest.java,7,0.0,6.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/CairoMemoryTest.java,10,2.0,5.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/CairoReadonlyEngineTest.java,2,1.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/ColumnVersionWriterTest.java,29,4.0,3.0,22.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/CreateTableTest.java,27,0.0,5.0,22.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/DoubleReloadTest.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/FullBwdDataFrameCursorTest.java,4,1.0,3.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/FullFwdDataFrameCursorFactoryTest.java,4,2.0,2.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/FullFwdDataFrameCursorTest.java,110,40.0,59.0,10.0,1.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/GenericRecordMetadataTest.java,2,0.0,1.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/GeoHashesTest.java,14,4.0,5.0,5.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/IndexBuilderTest.java,28,5.0,6.0,17.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/IntervalBwdDataFrameCursorTest.java,46,11.0,8.0,27.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/IntervalFwdDataFrameCursorTest.java,48,13.0,8.0,27.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/MemRemappedFileTest.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/PartitionByTest.java,21,1.0,3.0,17.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/RecordChainTest.java,4,3.0,1.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/RecordCursorPrinter.java,3,0.0,3.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/RecoverVarIndexTest.java,13,3.0,0.0,10.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/SymbolMapTest.java,19,15.0,4.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableModel.java,2,0.0,2.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableNameRegistryTest.java,8,0.0,4.0,4.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableReadFailTest.java,3,1.0,2.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableReaderMetadataTest.java,23,9.0,0.0,14.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableReaderMetadataTimestampTest.java,18,3.0,0.0,15.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableReaderReloadFuzzTest.java,1,0.0,1.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableReaderReloadTest.java,3,0.0,3.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableReaderTailRecordCursorTest.java,4,0.0,3.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableReaderTest.java,85,27.0,38.0,20.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableUtilsTest.java,7,1.0,5.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TableWriterTest.java,117,45.0,47.0,24.0,1.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TxnScoreboardTest.java,15,0.0,5.0,10.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/TxnTest.java,5,2.0,0.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/map/CompactMapTest.java,21,12.0,8.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/map/FastMapTest.java,23,11.0,10.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/map/RecordValueSinkFactoryTest.java,2,0.0,2.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/pool/ReaderPoolTest.java,23,4.0,14.0,5.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/pool/WriterPoolTest.java,28,3.0,21.0,4.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/sql/RecordTest.java,1,1.0,0.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/vm/ContiguousMemoryMTest.java,22,21.0,1.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/vm/ContiguousOffsetMappedMemoryTest.java,3,1.0,2.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/vm/MemoryCARWImplTest.java,9,4.0,1.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/vm/MemoryPARWImplTest.java,5,4.0,0.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/vm/MemoryPMARImplTest.java,1,1.0,0.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/wal/TableSequencerImplTest.java,1,0.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cairo/wal/WalTableWriterFuzzTest.java,10,0.0,2.0,8.0,0.0,NONE,0,0
